row_id,algorithm,fid,instance,dim,run,seed,best_error,evaluations,generations,wall_time
173,fixed:rand/1,7,1,5,23,15642676562808620122,0.045761420674651276,2500,50,0.9603769580135122
174,fixed:rand/1,7,1,5,24,12083714318374785945,0.025871038111645817,2500,50,1.4517324169864878
175,fixed:rand/1,8,1,5,0,8578387410281430192,3.3247547942362132,2500,50,1.2156447499874048
176,fixed:rand/1,8,1,5,1,17866913228707215577,2.524576287326454,2500,50,1.102595166012179
177,fixed:rand/1,8,1,5,2,1437090288197643427,1.2068733179041544,2500,50,1.0649961669696495
178,fixed:rand/1,8,1,5,3,12197317722013586945,1.2616231022873308,2500,50,1.1344745000242256
179,fixed:rand/1,8,1,5,4,6028273430505509476,2.1315156038280065,2500,50,1.1786123330239207
180,fixed:rand/1,8,1,5,5,5383112182913626459,1.4309835469784389,2500,50,0.8823820829857141
181,fixed:rand/1,8,1,5,6,6124421655043601499,2.9860466391040177,2500,50,1.1863139169872738
182,fixed:rand/1,8,1,5,7,4147524992233357266,1.6335256563851885,2500,50,1.5234494999749586
183,fixed:rand/1,8,1,5,8,6938406321332488272,2.188718256318566,2500,50,1.3467428750009276
184,fixed:rand/1,8,1,5,9,6763963551596627091,2.707964790025187,2500,50,1.2283567909616977
185,fixed:rand/1,8,1,5,10,18429754074387793826,4.161335540481048,2500,50,0.8865371250431053
186,fixed:rand/1,8,1,5,11,9857666187871751732,1.2673894581266154,2500,50,1.1076280829729512
187,fixed:rand/1,8,1,5,12,13346484908938982670,2.235331362387683,2500,50,0.864482750010211
188,fixed:rand/1,8,1,5,13,2719609865847788411,1.3345558891838891,2500,50,1.0799558329745196
189,fixed:rand/1,8,1,5,14,7924012718052527814,1.9370543452905338,2500,50,0.934643332962878
190,fixed:rand/1,8,1,5,15,7924850716325235600,1.263834425468474,2500,50,1.4826913750148378
191,fixed:rand/1,8,1,5,16,17666413659833600396,1.7259851777372432,2500,50,1.3699454580200836
192,fixed:rand/1,8,1,5,17,7952620356759583259,1.9245420965356743,2500,50,1.0538917079684325
193,fixed:rand/1,8,1,5,18,6906666214930240508,1.5785262424131474,2500,50,1.3115500420099124
194,fixed:rand/1,8,1,5,19,18403266771416226968,1.739586541395738,2500,50,1.1723063749959692
